日期,開盤指數,最高指數,最低指數,收盤指數
2021-03-17,16312.98,16349.21,16166.35,16215.82
2021-03-18,16264.61,16410.02,16264.61,16287.84
2021-03-19,16186.46,16186.46,16022.17,16070.24
2021-03-22,16065.5,16235.63,15983.77,16189.22
2021-03-23,16250.2,16351.38,16166.29,16177.59
2021-03-24,15994.96,16125.54,15967.95,16032.12
2021-03-25,16010.54,16146.58,15944.96,16060.14
2021-04-01,16538.28,16602.47,16496.16,16571.28
2021-04-06,16711.79,16804.45,16711.79,16739.87
2021-04-07,16771.35,16816.34,16715.32,16815.36
2021-04-08,16786.56,16926.72,16735.78,16926.44
2021-04-09,16974.28,17016.13,16815.59,16854.1
2021-04-12,16908.55,16979.35,16793.54,16859.7
2021-04-13,16872.4,17041.37,16802.22,16824.91
2021-04-14,16869.78,16935.39,16559.57,16865.97
2021-04-15,16851.06,17076.73,16851.06,17076.73
2021-04-16,17028.35,17158.81,16998.91,17158.81
2021-04-19,17141.25,17294.15,17135.52,17263.28
2021-04-20,17231.58,17323.87,17175.02,17323.87
2021-04-21,17282.76,17282.76,17167.39,17202.11
2021-04-22,17302.73,17428.15,17066.17,17096.97
2021-04-23,17117.49,17300.27,17055.48,17300.27
2021-05-03,17505.52,17546.94,17222.35,17222.35
2021-05-04,17249.56,17328.55,16647.61,16933.78
2021-05-05,16968.75,17052.2,16843.44,16843.44
2021-05-06,16925.52,17088.73,16764.71,16994.36
2021-05-07,17032.23,17285.0,17032.23,17285.0
2021-05-10,17274.23,17304.47,17188.15,17235.61
2021-05-11,17137.19,17137.19,16460.87,16583.13
2021-05-12,16515.88,16552.63,15165.27,15902.37
2021-05-13,15668.33,16031.93,15368.54,15670.1
2021-05-14,15819.24,16075.48,15702.1,15827.09
2021-05-17,15554.99,15719.74,15159.86,15353.89
2021-05-18,15564.96,16153.77,15564.96,16145.98
2021-05-19,16112.21,16273.98,16009.76,16132.66
2021-05-20,16122.52,16154.08,15943.45,16042.36
2021-05-21,16136.86,16431.14,16136.86,16302.06
2021-05-24,16246.52,16397.59,16136.97,16338.29
2021-05-25,16444.75,16657.6,16444.75,16595.67
2021-06-01,17098.49,17184.3,17060.45,17162.38
2021-06-02,17192.91,17274.66,17056.42,17165.04
2021-06-03,17201.3,17311.28,17198.89,17246.16
2021-06-04,17225.06,17225.06,17084.49,17147.41
2021-06-07,17176.09,17189.23,16775.85,17083.91
2021-06-08,17094.34,17181.52,17056.53,17076.21
2021-06-09,17082.52,17082.52,16907.43,16966.22
2021-06-10,17024.54,17159.22,16978.01,17159.22
2021-06-11,17200.45,17278.55,17193.61,17213.52
2021-06-15,17279.7,17371.29,17279.7,17371.29
2021-06-16,17357.37,17398.22,17275.02,17307.86
2021-06-17,17254.84,17390.61,17150.52,17390.61
2021-06-18,17384.74,17417.5,17318.54,17318.54
2021-06-21,17305.49,17305.49,17023.31,17062.98
2021-06-22,17162.71,17270.47,17075.55,17075.55
2021-06-23,17127.59,17375.79,17127.59,17336.71
2021-06-24,17358.57,17439.63,17319.89,17407.96
2021-07-01,17801.19,17863.9,17644.36,17713.94
2021-07-02,17745.69,17795.88,17676.98,17710.15
2021-07-05,17783.8,17945.52,17783.8,17919.33
2021-07-06,17929.22,18008.37,17895.78,17913.07
2021-07-07,17901.25,17933.62,17756.82,17850.69
2021-07-08,17880.9,17935.11,17742.08,17866.09
2021-07-09,17778.12,17778.12,17597.46,17661.48
2021-07-12,17843.3,17947.9,17759.9,17814.33
2021-07-13,17931.47,18018.04,17786.76,17847.52
2021-07-14,17892.51,17940.86,17716.44,17845.75
2021-07-15,17878.78,18034.19,17878.78,18034.19
2021-07-16,17839.58,17926.38,17779.61,17895.25
2021-07-19,17854.35,17854.35,17708.15,17789.25
2021-07-20,17724.92,17724.92,17500.69,17528.74
2021-07-21,17593.6,17707.56,17352.24,17458.79
2021-07-22,17482.81,17667.38,17482.81,17572.33
2021-07-23,17603.95,17672.6,17511.86,17572.92
2021-07-26,17554.93,17637.36,17403.56,17403.56
2021-08-02,17256.61,17503.28,17231.22,17503.28
2021-08-03,17489.12,17553.76,17456.2,17553.76
2021-08-04,17588.64,17636.11,17557.18,17623.89
2021-08-05,17624.82,17643.97,17566.72,17603.12
2021-08-06,17593.85,17593.85,17469.68,17526.28
2021-08-09,17505.01,17510.09,17350.15,17485.15
2021-08-10,17492.45,17524.91,17305.06,17323.64
2021-08-11,17308.62,17327.2,17090.25,17227.18
2021-08-12,17221.35,17233.11,17139.21,17219.94
2021-08-13,17216.34,17216.34,16978.11,16982.11
2021-08-16,16941.33,16983.59,16773.57,16858.77
2021-08-17,16841.62,16870.55,16657.63,16661.36
2021-08-18,16630.99,16826.27,16418.54,16826.27
2021-08-19,16777.78,16777.78,16375.4,16375.4
2021-08-20,16426.98,16507.11,16248.08,16341.94
2021-08-23,16459.13,16785.29,16459.13,16741.84
2021-08-24,16830.63,16904.3,16779.9,16818.73
2021-08-25,16821.08,17045.86,16821.08,17045.86
2021-09-01,17463.8,17503.93,17415.52,17473.99
2021-09-02,17455.92,17523.16,17319.76,17319.76
2021-09-03,17380.52,17540.78,17380.52,17516.92
2021-09-06,17534.05,17633.67,17461.07,17495.3
2021-09-07,17534.38,17559.21,17388.37,17428.87
2021-09-08,17411.53,17447.58,17167.08,17270.49
2021-09-09,17175.04,17319.09,17122.95,17304.33
2021-09-10,17270.28,17474.57,17270.28,17474.57
2021-09-13,17452.16,17482.57,17387.57,17446.31
2021-09-14,17463.78,17529.47,17424.54,17434.9
2021-09-15,17434.02,17439.75,17316.52,17354.0
2021-09-16,17332.34,17411.37,17254.1,17278.7
2021-09-17,17279.29,17408.71,17235.45,17276.79
2021-09-22,17196.79,17196.79,16838.58,16925.82
2021-09-23,16998.07,17145.25,16998.07,17078.22
2021-09-24,17130.74,17273.59,17130.74,17260.19
2021-10-01,16883.0,16883.0,16503.74,16570.89
2021-10-04,16600.52,16680.29,16380.06,16408.35
2021-10-05,16362.27,16460.75,16162.17,16460.75
2021-10-06,16488.21,16568.21,16303.63,16393.16
2021-10-07,16465.57,16731.58,16465.57,16713.86
2021-10-08,16742.35,16771.71,16605.49,16640.43
2021-10-12,16589.72,16589.72,16349.49,16462.84
2021-10-13,16480.98,16543.33,16328.47,16347.99
2021-10-14,16392.51,16519.96,16347.88,16387.28
2021-10-15,16426.76,16781.19,16426.76,16781.19
2021-10-18,16816.94,16862.03,16695.89,16705.46
2021-10-19,16791.12,16916.72,16772.15,16900.67
2021-10-20,16936.2,16973.86,16855.81,16887.82
2021-10-21,16904.46,17026.89,16873.99,16889.51
2021-10-22,16900.32,16932.89,16800.49,16888.74
2021-10-25,16879.34,16930.98,16784.11,16894.24
2021-11-01,17021.77,17119.43,17021.77,17068.24
2021-11-02,17094.42,17237.09,17026.63,17065.97
2021-11-03,17087.89,17153.76,17080.51,17122.16
2021-11-04,17158.28,17219.65,17061.46,17078.86
2021-11-05,17097.16,17296.9,17097.16,17296.9
2021-11-08,17323.39,17415.3,17279.46,17415.3
2021-11-09,17433.1,17581.52,17433.1,17541.36
2021-11-10,17549.09,17575.44,17489.87,17559.65
2021-11-11,17527.18,17527.18,17403.48,17452.52
2021-11-12,17479.55,17602.05,17479.55,17518.13
2021-11-15,17560.52,17683.19,17560.52,17634.47
2021-11-16,17639.96,17708.1,17629.8,17693.13
2021-11-17,17705.29,17764.04,17669.58,17764.04
2021-11-18,17767.06,17841.37,17748.21,17841.37
2021-11-19,17864.19,17986.18,17786.05,17818.31
2021-11-22,17828.53,17857.73,17790.64,17803.54
2021-11-23,17797.9,17797.9,17650.07,17666.12
2021-11-24,17680.16,17722.89,17588.78,17642.52
2021-12-01,17428.61,17626.21,17374.59,17585.99
2021-12-02,17575.91,17741.55,17559.44,17724.88
2021-12-03,17720.93,17781.14,17670.32,17697.14
2021-12-06,17650.67,17763.42,17585.95,17688.21
2021-12-07,17734.19,17796.92,17642.32,17796.92
2021-12-08,17845.06,17988.88,17832.42,17832.42
2021-12-09,17880.41,17925.12,17807.12,17914.12
2021-12-10,17893.29,17893.29,17767.8,17826.26
2021-12-13,17841.03,17919.35,17767.6,17767.6
2021-12-14,17754.38,17754.38,17566.99,17599.37
2021-12-15,17592.87,17678.78,17556.87,17660.1
2021-12-16,17719.06,17814.32,17719.06,17785.74
2021-12-17,17744.54,17822.74,17718.27,17812.59
2021-12-20,17812.81,17812.81,17646.39,17669.11
2021-12-21,17686.84,17825.89,17652.32,17789.27
2021-12-22,17805.74,17870.16,17799.72,17826.83
2021-12-23,17855.78,17960.99,17855.78,17946.66
2021-12-24,17966.35,18039.85,17953.57,17961.64
2022-01-03,18260.23,18379.69,18238.47,18270.51
2022-01-04,18395.14,18526.35,18395.14,18526.35
2022-01-05,18598.13,18619.61,18446.52,18499.96
2022-01-06,18395.72,18427.15,18253.82,18367.92
2022-01-07,18388.16,18444.12,18134.41,18169.76
2022-01-10,18095.39,18243.26,18043.97,18239.38
2022-01-11,18266.54,18293.53,18135.43,18288.21
2022-01-12,18348.39,18394.7,18255.38,18375.4
2022-01-13,18356.21,18459.73,18346.81,18436.93
2022-01-14,18509.0,18509.0,18213.44,18403.33
2022-01-17,18512.15,18535.42,18435.02,18525.44
2022-01-18,18492.81,18575.41,18378.64,18378.64
2022-01-19,18275.18,18359.14,18199.35,18227.46
2022-01-20,18212.26,18292.14,18125.2,18218.28
2022-02-07,17750.7,17900.3,17712.35,17900.3
2022-02-08,17955.95,18063.55,17955.95,17966.56
2022-02-09,18060.33,18168.6,18039.23,18151.76
2022-02-10,18217.29,18338.05,18145.04,18338.05
2022-02-11,18258.81,18310.94,18191.75,18310.94
2022-02-14,18182.73,18182.73,17965.22,17997.67
2022-02-15,17978.44,18085.91,17942.68,17951.81
2022-02-16,18109.17,18233.79,18109.17,18231.47
2022-02-17,18213.3,18330.63,18190.24,18268.57
2022-02-18,18250.37,18262.96,18098.52,18232.35
2022-02-21,18196.4,18253.1,18129.65,18221.49
2022-03-01,17657.5,17944.5,17657.5,17898.25
2022-03-02,17864.11,17918.98,17784.64,17867.6
2022-03-03,17932.15,18026.03,17906.24,17934.4
2022-03-04,17845.01,17845.01,17710.54,17736.52
2022-03-07,17581.57,17581.57,17135.68,17178.69
2022-03-08,17000.0,17113.67,16764.78,16825.25
2022-03-09,16944.08,17072.74,16944.08,17015.36
2022-03-10,17224.73,17478.43,17224.73,17433.2
2022-03-11,17373.82,17373.9,17239.9,17264.74
2022-03-14,17287.9,17363.04,17217.58,17263.04
2022-03-15,17177.27,17177.27,16911.95,16926.06
2022-03-16,17007.58,17085.77,16808.43,16940.83
2022-03-17,17172.81,17472.95,17172.81,17448.22
2022-03-18,17439.91,17472.38,17359.5,17456.52
2022-03-21,17503.95,17603.99,17503.95,17560.36
2022-03-22,17512.41,17573.29,17468.55,17559.71
2022-03-23,17581.62,17738.69,17581.62,17731.37
2022-03-24,17711.17,17711.17,17603.22,17699.06
2022-03-25,17695.8,17747.13,17633.86,17676.95
2022-04-01,17657.76,17657.76,17465.61,17625.59
2022-04-06,17484.19,17528.99,17381.07,17522.5
2022-04-07,17430.13,17438.6,17178.63,17178.63
2022-04-08,17210.4,17316.69,17210.4,17284.54
2022-04-11,17273.05,17316.35,17046.67,17048.37
2022-04-12,17005.84,17100.85,16905.13,16990.91
2022-04-13,17080.4,17333.21,17080.4,17301.65
2022-04-14,17353.25,17374.14,17245.65,17245.65
2022-04-15,17139.34,17141.33,17004.18,17004.18
2022-04-18,16958.66,16999.36,16845.51,16898.87
2022-04-19,16926.34,17106.26,16926.34,16993.4
2022-04-20,17057.13,17148.88,16983.55,17148.88
2022-04-21,17159.88,17213.66,17106.37,17127.95
2022-04-22,17088.76,17088.76,16923.87,17025.09
2022-04-25,16912.3,16912.3,16579.89,16620.9
2022-05-03,16593.21,16604.87,16465.99,16498.9
2022-05-04,16531.37,16617.06,16514.3,16565.83
2022-05-05,16689.98,16783.78,16650.81,16696.12
2022-05-06,16491.11,16491.11,16312.17,16408.2
2022-05-09,16345.84,16345.84,16048.92,16048.92
2022-05-10,15891.4,16071.5,15734.44,16061.7
2022-05-11,16053.75,16081.15,15953.27,16006.25
2022-05-12,15943.62,15943.62,15616.68,15616.68
2022-05-13,15687.15,15860.69,15687.15,15832.54
2022-05-16,15943.69,16032.85,15847.46,15901.04
2022-05-17,15915.93,16085.85,15915.93,16056.09
2022-05-18,16174.78,16316.58,16172.8,16296.86
2022-05-19,16111.49,16111.49,15892.73,16020.32
2022-05-20,16061.92,16181.66,16058.2,16144.85
2022-05-23,16193.92,16249.45,16125.45,16156.41
2022-05-24,16166.57,16219.8,15963.63,15963.63
2022-05-25,15987.74,16169.18,15980.9,16104.03
2022-06-01,16718.91,16811.04,16649.91,16675.09
2022-06-02,16605.46,16617.26,16540.55,16552.57
2022-06-06,16570.89,16654.12,16509.01,16605.96
2022-06-07,16593.75,16593.75,16465.87,16512.88
2022-06-08,16538.67,16702.99,16538.67,16670.51
2022-06-09,16643.95,16643.95,16557.54,16621.34
2022-06-10,16581.81,16581.81,16403.33,16460.12
2022-06-13,16295.07,16295.07,16055.89,16070.98
2022-06-14,15975.17,16067.8,15869.06,16047.37
2022-06-15,16025.84,16106.75,15981.56,15999.25
2022-06-16,16098.29,16209.25,15838.29,15838.61
2022-06-17,15794.16,15794.16,15573.38,15641.26
2022-06-20,15649.2,15667.68,15367.58,15367.58
2022-06-21,15427.33,15728.64,15427.33,15728.64
2022-06-22,15687.46,15687.46,15346.95,15347.75
2022-06-23,15305.51,15380.28,15102.4,15176.44
2022-06-24,15232.34,15424.37,15232.34,15303.32
2022-07-01,14812.13,14812.13,14336.03,14343.08
2022-07-04,14237.83,14412.47,14167.1,14217.06
2022-07-05,14345.54,14488.8,14100.89,14349.2
2022-07-06,14289.67,14319.32,13985.51,13985.51
2022-07-07,14052.18,14355.15,13951.81,14336.27
2022-07-08,14462.5,14552.42,14373.84,14464.53
2022-07-11,14478.31,14525.03,14313.94,14340.53
2022-07-12,14235.63,14235.63,13928.66,13950.62
2022-07-13,14194.94,14403.51,14194.94,14324.68
2022-07-14,14252.02,14450.47,14159.39,14438.52
2022-07-15,14483.96,14579.73,14378.33,14550.62
2022-07-18,14589.1,14719.64,14589.1,14719.64
2022-07-19,14638.45,14720.13,14598.99,14694.08
2022-07-20,14810.4,14906.95,14694.2,14733.22
2022-07-21,14744.17,14937.7,14716.02,14937.7
2022-07-22,14953.27,14996.24,14902.32,14949.36
2022-07-25,14902.25,14968.23,14851.37,14936.33
2022-08-01,14982.27,14994.36,14886.81,14981.69
2022-08-02,14860.94,14860.94,14663.46,14747.23
2022-08-03,14757.51,14777.02,14673.35,14777.02
2022-08-04,14741.47,14766.57,14545.69,14702.2
2022-08-05,14802.34,15041.41,14802.34,15036.04
2022-08-08,14972.21,15034.87,14908.17,15020.41
2022-08-09,14965.12,15077.63,14905.23,15050.28
2022-08-10,14940.76,14982.33,14890.55,14939.02
2022-08-11,15087.59,15204.79,15087.59,15197.85
2022-08-12,15203.91,15298.42,15198.93,15288.97
2022-08-15,15332.92,15437.23,15315.12,15417.35
2022-08-16,15435.04,15451.83,15392.49,15420.57
2022-08-17,15423.44,15475.89,15390.84,15465.45
2022-08-18,15384.73,15396.76,15311.22,15396.76
2022-08-19,15394.36,15458.45,15346.26,15408.78
2022-08-22,15375.2,15375.2,15229.36,15245.14
2022-08-23,15225.17,15225.17,15086.43,15095.89
2022-08-24,15112.15,15183.96,15053.52,15069.19
2022-08-25,15105.31,15244.06,15105.31,15200.04
2022-09-01,14981.0,14981.0,14773.19,14801.86
2022-09-02,14790.28,14817.4,14673.04,14673.04
2022-09-05,14670.18,14753.03,14632.79,14661.1
2022-09-06,14705.16,14789.31,14623.22,14677.2
2022-09-07,14557.86,14557.86,14397.12,14410.05
2022-09-08,14447.09,14583.42,14447.09,14583.42
2022-09-12,14711.34,14856.23,14711.34,14807.43
2022-09-13,14895.87,14949.56,14856.98,14894.41
2022-09-14,14695.19,14699.78,14522.7,14658.31
2022-09-15,14647.0,14750.28,14624.55,14670.04
2022-09-16,14602.16,14602.16,14521.65,14561.76
2022-09-19,14567.27,14585.06,14424.33,14425.68
2022-09-20,14474.95,14558.72,14461.39,14549.3
2022-09-21,14517.34,14525.46,14384.11,14424.52
2022-09-22,14325.67,14325.67,14151.8,14284.63
2022-09-23,14231.03,14277.53,14109.71,14118.38
2022-09-26,13993.42,13993.42,13743.19,13778.19
2022-10-03,13359.26,13440.23,13273.48,13300.48
2022-10-04,13447.36,13586.96,13447.36,13576.52
2022-10-05,13727.3,13902.02,13727.3,13801.43
2022-10-06,13865.45,13899.23,13814.33,13892.05
2022-10-07,13847.52,13847.52,13684.21,13702.28
2022-10-11,13394.12,13394.12,13106.03,13106.03
2022-10-12,13076.91,13130.73,12991.59,13081.24
2022-10-13,13108.4,13111.39,12809.43,12810.73
2022-10-14,13023.71,13221.87,13023.71,13128.12
2022-10-17,12988.83,12988.83,12814.82,12966.05
2022-10-18,13075.05,13143.15,12978.13,13124.68
2022-10-19,13096.35,13155.62,12976.76,12976.76
2022-10-20,12912.93,12946.1,12698.91,12946.1
2022-10-21,12931.2,12954.02,12813.6,12819.2
2022-10-24,12913.58,13027.84,12856.77,12856.98
2022-10-25,12830.29,12843.31,12629.48,12666.12
2022-11-01,12933.12,13062.9,12907.61,13037.21
2022-11-02,13033.15,13100.17,13014.04,13100.17
2022-11-03,12985.55,12991.37,12905.35,12986.6
2022-11-04,12941.78,13029.94,12868.25,13026.71
2022-11-07,13109.35,13246.59,13103.35,13223.73
2022-11-08,13274.91,13389.25,13274.91,13347.76
2022-11-09,13410.19,13638.81,13410.19,13638.81
2022-11-10,13556.51,13559.4,13463.85,13503.76
2022-11-11,13878.95,14045.51,13878.95,14007.56
2022-11-14,14080.91,14217.3,14076.94,14174.9
2022-11-15,14325.49,14568.51,14278.53,14546.31
2022-11-16,14637.85,14657.66,14481.06,14537.35
2022-11-17,14489.41,14545.89,14383.55,14535.23
2022-11-18,14584.31,14669.98,14470.48,14504.99
2022-11-21,14514.71,14530.76,14421.65,14449.39
2022-11-22,14404.08,14542.79,14371.09,14542.2
2022-11-23,14595.5,14647.98,14573.41,14608.54
2022-11-24,14649.8,14784.0,14649.8,14784.0
2022-12-01,15059.92,15152.38,14998.03,15012.8
2022-12-02,14933.2,15021.73,14921.06,14970.68
2022-12-05,14972.17,15088.06,14969.97,14980.74
2022-12-06,14955.29,14957.82,14728.88,14728.88
2022-12-07,14708.08,14823.15,14630.01,14630.01
2022-12-08,14631.21,14634.16,14464.2,14553.04
2022-12-09,14620.27,14742.79,14620.27,14705.43
2022-12-12,14658.46,14658.46,14538.66,14612.59
2022-12-13,14617.86,14658.7,14515.74,14522.96
2022-12-14,14557.56,14739.36,14557.56,14739.36
2022-12-15,14692.92,14756.38,14649.54,14734.13
2022-12-16,14554.21,14568.31,14447.77,14528.55
2022-12-19,14478.45,14493.72,14411.81,14433.32
2022-12-20,14410.75,14451.91,14157.99,14170.03
2022-12-21,14205.06,14291.98,14197.86,14234.4
2022-12-22,14323.04,14442.94,14323.04,14442.94
2022-12-23,14318.12,14318.12,14192.98,14271.63
2022-12-26,14271.2,14301.11,14253.2,14285.13
2023-01-03,14108.16,14237.94,14001.97,14224.12
2023-01-04,14186.95,14257.45,14177.97,14199.13
2023-01-05,14285.12,14357.6,14270.93,14301.05
2023-01-06,14278.52,14384.92,14278.52,14373.34
2023-01-09,14504.47,14752.21,14504.47,14752.21
2023-01-10,14796.27,14816.13,14728.56,14802.96
2023-01-11,14822.86,14842.74,14734.44,14751.44
2023-01-12,14780.58,14813.31,14700.73,14731.64
2023-01-13,14923.05,14962.31,14822.15,14824.13
2023-02-01,15346.35,15420.13,15291.68,15420.13
2023-02-02,15508.83,15602.09,15496.52,15595.16
2023-02-03,15591.95,15617.73,15504.03,15602.66
2023-02-06,15514.8,15514.8,15392.82,15392.82
2023-02-07,15376.12,15462.1,15363.65,15400.91
2023-02-08,15538.71,15631.22,15520.05,15618.17
2023-02-09,15590.0,15617.34,15553.84,15598.71
2023-02-10,15627.33,15628.3,15546.11,15586.65
2023-02-13,15564.76,15569.99,15465.56,15544.28
2023-02-14,15584.74,15669.63,15584.74,15654.48
2023-02-15,15497.67,15553.68,15388.85,15432.89
2023-02-16,15474.46,15585.48,15474.46,15550.5
2023-02-17,15503.75,15503.75,15418.43,15479.7
2023-02-20,15452.01,15575.32,15436.66,15551.23
2023-03-01,15435.38,15617.03,15387.38,15598.49
2023-03-02,15580.28,15618.06,15492.37,15598.72
2023-03-03,15621.36,15713.42,15606.85,15608.42
2023-03-06,15675.28,15818.88,15675.28,15763.51
2023-03-07,15763.87,15879.16,15749.04,15857.89
2023-03-08,15819.18,15821.49,15740.98,15818.2
2023-03-09,15827.98,15878.75,15770.66,15770.66
2023-03-10,15729.29,15729.29,15488.71,15526.2
2023-03-13,15514.03,15571.17,15349.67,15560.49
2023-03-14,15517.74,15517.74,15348.12,15360.42
